1		5		user		wedding crashers		0.11822397,1.0,0.031808745,1.0,0.08750372,0.19797276,0.0302863,0.19797276,0.0,0.19797276,0.19618699,0.19797276,0.066446476,0.19797276,0.0,0.19797276,0.027253112,0.19797276,0.46320713,0.19797276,0.19275919,0.19797276,0.23383702,0.19797276,0.46320713,0.19797276,0.07301054,0.19797276,0.0,0.19797276,0.0,0.19797276,0.0,0.19797276,0.0,0.19797276,0.0,0.07025192,0.0,0.07025192,0.21587354,0.07025192,0.0,0.07025192,0.073196,0.07025192,0.073196,0.07025192,0.073196,0.07025192,0.073196,0.07025192,0.032723114,0.07025192,0.15692265,0.07025192,0.15692265,0.07025192,0.053173363,0.07025192,0.15692265,0.07025192,0.060993582,0.07025192,0.20393372,0.07025192,0.100573346,0.07025192,0.08444637,0.07025192,0.08444637,0.07025192,0.08444637,0.07025192,0.08444637,0.07025192,0.08444637,0.07025192,0.09309913,0.07025192,0.097086556,0.07025192,0.0,0.07025192,0.097086556,0.07025192,0.097086556,0.30856773,0.062951416,0.30856773,0.09515481,0.30856773,0.0772428,0.30856773,0.09515481,0.30856773,0.09515481,0.30856773,0.09515481,0.30856773,0.10801976,0.1367017,0.12497134,0.1367017,0.12497134,0.1367017,0.12497134,0.1367017,0.10801976,0.1367017,0.07975568,0.1367017,0.041586693,0.1367017,0.07975568,0.1367017,0.15703814,0.1367017,0.04242038,0.1588989,0.04242038,0.1588989,0.15692265,0.1588989,0.15692265,0.1588989,0.15692265,0.1588989,0.053173363,0.1588989,0.13656308,0.1588989,0.053173363,0.1588989,0.053173363,0.1588989,0.15692265,0.1588989,0.15692265,0.21598235,0.15692265,0.21598235,0.035297412,0.21598235,0.15703814,0.21598235,0.0,0.21598235,0.26918283,0.21598235,0.0038304445,0.19074205,0.19190954,0.19074205,0.19190954,0.15621452,0.0179506,0.21161312,0.19190954,0.21161312,0.053173363,0.21161312,0.0,0.21161312,0.14905773,0.21161312,0.0,0.21161312,0.1545495,0.21161312,0.1545495,0.21161312,0.1545495,0.21161312,0.1545495,0.21161312,0.1545495,0.21161312,0.121572316,0.21161312,0.2650825,0.21161312,0.2650825,0.21161312,0.2650825,0.1588989,0.2650825,0.21598235,0.0,0.21598235,0.1331482,0.2262957,0.20829609,0.2262957,0.20829609,0.2262957,0.20829609,0.2262957,0.13959098,0.2262957
3		5		user		wedding crashers		0.11822397,1.0,0.031808745,1.0,0.08750372,0.19797276,0.0302863,0.19797276,0.0,0.19797276,0.19618699,0.19797276,0.066446476,0.19797276,0.0,0.19797276,0.027253112,0.19797276,0.46320713,0.19797276,0.19275919,0.19797276,0.23383702,0.19797276,0.46320713,0.19797276,0.07301054,0.19797276,0.0,0.19797276,0.0,0.19797276,0.0,0.19797276,0.0,0.19797276,0.0,0.07025192,0.0,0.07025192,0.21587354,0.07025192,0.0,0.07025192,0.073196,0.07025192,0.073196,0.07025192,0.073196,0.07025192,0.073196,0.07025192,0.032723114,0.07025192,0.15692265,0.07025192,0.15692265,0.07025192,0.053173363,0.07025192,0.15692265,0.07025192,0.060993582,0.07025192,0.20393372,0.07025192,0.100573346,0.07025192,0.08444637,0.07025192,0.08444637,0.07025192,0.08444637,0.07025192,0.08444637,0.07025192,0.08444637,0.07025192,0.09309913,0.07025192,0.097086556,0.07025192,0.0,0.07025192,0.097086556,0.07025192,0.097086556,0.30856773,0.062951416,0.30856773,0.09515481,0.30856773,0.0772428,0.30856773,0.09515481,0.30856773,0.09515481,0.30856773,0.09515481,0.30856773,0.10801976,0.1367017,0.12497134,0.1367017,0.12497134,0.1367017,0.12497134,0.1367017,0.10801976,0.1367017,0.07975568,0.1367017,0.041586693,0.1367017,0.07975568,0.1367017,0.15703814,0.1367017,0.04242038,0.1588989,0.04242038,0.1588989,0.15692265,0.1588989,0.15692265,0.1588989,0.15692265,0.1588989,0.053173363,0.1588989,0.13656308,0.1588989,0.053173363,0.1588989,0.053173363,0.1588989,0.15692265,0.1588989,0.15692265,0.21598235,0.15692265,0.21598235,0.035297412,0.21598235,0.15703814,0.21598235,0.0,0.21598235,0.26918283,0.21598235,0.0038304445,0.19074205,0.19190954,0.19074205,0.19190954,0.15621452,0.0179506,0.21161312,0.19190954,0.21161312,0.053173363,0.21161312,0.0,0.21161312,0.14905773,0.21161312,0.0,0.21161312,0.1545495,0.21161312,0.1545495,0.21161312,0.1545495,0.21161312,0.1545495,0.21161312,0.1545495,0.21161312,0.121572316,0.21161312,0.2650825,0.21161312,0.2650825,0.21161312,0.2650825,0.1588989,0.2650825,0.21598235,0.0,0.21598235,0.1331482,0.2262957,0.20829609,0.2262957,0.20829609,0.2262957,0.20829609,0.2262957,0.13959098,0.2262957
24		5		tmn		The dressing your holiday party 		0.1355937,0.46320713,0.11355263,0.46320713,0.22267,0.12083956,0.05429019,0.12083956,0.0075091287,0.12083956,0.11303478,0.12083956,0.20218927,0.12083956,0.0,0.12083956,0.07224541,0.12083956,1.0,0.12083956,1.0,0.12083956,1.0,0.12083956,1.0,0.12083956,0.14700949,0.12083956,0.0,0.12083956,0.0,0.12083956,0.0,0.12083956,0.0075091287,0.12083956,0.0075091287,0.08388161,0.0,0.08388161,0.14735395,0.08388161,0.025704175,0.08388161,0.12241813,0.08388161,0.12241813,0.08388161,0.18173727,0.08388161,0.18173727,0.08388161,0.18173727,0.08388161,0.06448769,0.08388161,0.06448769,0.08388161,0.06448769,0.08388161,0.045497928,0.08388161,0.18370888,0.08388161,0.09765895,0.08388161,0.13371027,0.08388161,0.11662334,0.08388161,0.11127549,0.08388161,0.11127549,0.08388161,0.11127549,0.08388161,0.11662334,0.08388161,0.078872465,0.08388161,0.109081395,0.08388161,0.0,0.08388161,0.109081395,0.08388161,0.109081395,0.24891324,0.14791185,0.24891324,0.060775544,0.24891324,0.060775544,0.24891324,0.22205442,0.24891324,0.22205442,0.24891324,0.22205442,0.24891324,0.68980944,0.112466216,0.68980944,0.112466216,0.68980944,0.112466216,0.68980944,0.112466216,0.68980944,0.112466216,0.15139268,0.112466216,0.15139268,0.112466216,0.15139268,0.112466216,0.1074113,0.112466216,0.11662334,0.12908125,0.11662334,0.12908125,0.06448769,0.12908125,0.06448769,0.12908125,0.045497928,0.12908125,0.06448769,0.12908125,0.07169467,0.12908125,0.06448769,0.12908125,0.06448769,0.12908125,0.039594293,0.12908125,0.045497928,0.14591233,0.06448769,0.14591233,0.0,0.14591233,0.1074113,0.14591233,0.0,0.14591233,0.14062753,0.14591233,0.23632869,0.24449787,0.18874896,0.24449787,0.23632869,0.17192899,0.23632869,0.13052762,0.23632869,0.13052762,0.06448769,0.13052762,0.045497928,0.13052762,0.07700062,0.13052762,0.0,0.13052762,0.22205442,0.13052762,0.12554441,0.13052762,0.22205442,0.13052762,0.12554441,0.13052762,0.12554441,0.13052762,0.2986806,0.13052762,0.23235857,0.13052762,0.2986806,0.13052762,0.2986806,0.12908125,0.2986806,0.14591233,0.0,0.14591233,0.34614146,0.2848727,0.25410727,0.2848727,0.25410727,0.2848727,0.25410727,0.2848727,0.12907106,0.2848727
136		5		tmn		StarVR starbreeze Feltham 		0.0,0.15692265,0.04283252,0.15692265,0.0,0.0,0.05426232,0.0,0.0,0.0,0.0,0.0,0.059516694,0.0,0.0,0.0,0.050070915,0.0,0.07818198,0.0,0.07818198,0.0,0.07818198,0.0,0.039594293,0.0,0.110064104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030276423,0.0,0.19129544,0.0,0.14306435,0.0,0.19129544,0.0,0.19129544,0.0,0.19129544,0.0,1.0,0.0,1.0,0.0,0.02114092,0.0,1.0,0.0,0.01482973,0.0,0.11294642,0.0,0.034958266,0.0,0.12805107,0.0,0.081612274,0.0,0.081612274,0.0,0.081612274,0.0,0.12805107,0.0,0.12234404,0.0,0.12234404,0.0,0.003564192,0.0,0.003564192,0.0,0.12234404,0.1442031,0.0,0.1442031,0.06931476,0.1442031,0.0,0.1442031,0.07818198,0.1442031,0.07818198,0.1442031,0.07818198,0.1442031,0.059194285,0.0,0.16474843,0.0,0.16474843,0.0,0.16474843,0.0,0.059194285,0.0,0.14577241,0.0,0.14577241,0.0,0.14577241,0.0,0.041612092,0.0,0.12805107,0.0,0.12805107,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.02114092,0.0,0.025334066,0.0,0.02114092,0.0,0.02114092,0.0,1.0,0.0,1.0,0.08382412,1.0,0.08382412,0.09770953,0.08382412,0.041612092,0.08382412,0.0,0.08382412,0.07574083,0.08382412,0.20270543,0.03275892,0.043870486,0.03275892,0.043870486,0.0,0.043870486,0.0,0.030276423,0.0,0.02114092,0.0,0.01785002,0.0,0.05167298,0.0,0.0,0.0,0.12805107,0.0,0.12805107,0.0,0.07818198,0.0,0.12805107,0.0,0.12805107,0.0,0.13121499,0.0,0.07820056,0.0,0.13121499,0.0,0.13121499,0.0,0.13121499,0.08382412,0.0,0.08382412,0.0,0.027484844,0.13367286,0.027484844,0.13367286,0.027484844,0.07818198,0.027484844,0.0,0.027484844
70		6		tmn		texas matsakis wired 		0.12123815,0.08444637,0.112484254,0.08444637,0.052636422,0.14002977,0.100590244,0.14002977,0.052844282,0.14002977,0.16497143,0.14002977,0.0,0.14002977,0.0,0.14002977,0.15787496,0.14002977,0.11127549,0.14002977,0.07670106,0.14002977,0.11127549,0.14002977,0.11127549,0.14002977,0.042221557,0.14002977,0.14059556,0.14002977,0.14059556,0.14002977,0.14059556,0.14002977,0.052844282,0.14002977,0.14059556,0.19149101,0.0,0.19149101,0.11360771,0.19149101,0.033380523,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.062109504,0.19149101,0.1304851,0.19149101,0.1304851,0.19149101,0.1304851,0.19149101,0.081612274,0.19149101,0.19972983,0.19149101,0.0,0.19149101,0.090041615,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,0.03699813,0.19149101,0.11534708,0.19149101,0.11534708,0.19149101,0.11534708,0.19149101,0.11534708,0.17839071,0.33108613,0.17839071,0.21841125,0.17839071,0.21841125,0.17839071,0.0,0.17839071,0.0,0.17839071,0.0,0.17839071,0.060937617,0.25086325,0.05673286,0.25086325,0.05673286,0.25086325,0.05673286,0.25086325,0.060937617,0.25086325,0.06995376,0.25086325,0.06995376,0.25086325,0.06995376,0.25086325,0.1577738,0.25086325,0.0035287577,0.083750576,0.0035287577,0.083750576,0.1304851,0.083750576,0.1304851,0.083750576,0.081612274,0.083750576,0.1304851,0.083750576,0.23808059,0.083750576,0.1304851,0.083750576,0.1304851,0.083750576,0.081612274,0.083750576,0.081612274,0.12856348,0.1304851,0.12856348,0.16793332,0.12856348,0.1577738,0.12856348,0.0,0.12856348,0.1770722,0.12856348,0.022672927,0.058425173,0.08648331,0.058425173,0.08648331,0.16439788,0.033380523,0.21644747,0.08648331,0.21644747,0.1304851,0.21644747,0.023585336,0.21644747,0.10259817,0.21644747,0.0,0.21644747,0.10458105,0.21644747,0.15466085,0.21644747,0.10458105,0.21644747,0.10458105,0.21644747,0.15466085,0.21644747,0.18429862,0.21644747,0.18429862,0.21644747,0.069128595,0.21644747,0.069128595,0.083750576,0.069128595,0.12856348,0.0,0.12856348,0.13696137,0.11494482,0.08420456,0.11494482,0.08420456,0.11494482,0.1565954,0.11494482,0.24933544,0.11494482
72		6		tmn		texas matsakis wired		0.12123815,0.08444637,0.112484254,0.08444637,0.052636422,0.14002977,0.100590244,0.14002977,0.052844282,0.14002977,0.16497143,0.14002977,0.0,0.14002977,0.0,0.14002977,0.15787496,0.14002977,0.11127549,0.14002977,0.07670106,0.14002977,0.11127549,0.14002977,0.11127549,0.14002977,0.042221557,0.14002977,0.14059556,0.14002977,0.14059556,0.14002977,0.14059556,0.14002977,0.052844282,0.14002977,0.14059556,0.19149101,0.0,0.19149101,0.11360771,0.19149101,0.033380523,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.062109504,0.19149101,0.1304851,0.19149101,0.1304851,0.19149101,0.1304851,0.19149101,0.081612274,0.19149101,0.19972983,0.19149101,0.0,0.19149101,0.090041615,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,0.03699813,0.19149101,0.11534708,0.19149101,0.11534708,0.19149101,0.11534708,0.19149101,0.11534708,0.17839071,0.33108613,0.17839071,0.21841125,0.17839071,0.21841125,0.17839071,0.0,0.17839071,0.0,0.17839071,0.0,0.17839071,0.060937617,0.25086325,0.05673286,0.25086325,0.05673286,0.25086325,0.05673286,0.25086325,0.060937617,0.25086325,0.06995376,0.25086325,0.06995376,0.25086325,0.06995376,0.25086325,0.1577738,0.25086325,0.0035287577,0.083750576,0.0035287577,0.083750576,0.1304851,0.083750576,0.1304851,0.083750576,0.081612274,0.083750576,0.1304851,0.083750576,0.23808059,0.083750576,0.1304851,0.083750576,0.1304851,0.083750576,0.081612274,0.083750576,0.081612274,0.12856348,0.1304851,0.12856348,0.16793332,0.12856348,0.1577738,0.12856348,0.0,0.12856348,0.1770722,0.12856348,0.022672927,0.058425173,0.08648331,0.058425173,0.08648331,0.16439788,0.033380523,0.21644747,0.08648331,0.21644747,0.1304851,0.21644747,0.023585336,0.21644747,0.10259817,0.21644747,0.0,0.21644747,0.10458105,0.21644747,0.15466085,0.21644747,0.10458105,0.21644747,0.10458105,0.21644747,0.15466085,0.21644747,0.18429862,0.21644747,0.18429862,0.21644747,0.069128595,0.21644747,0.069128595,0.083750576,0.069128595,0.12856348,0.0,0.12856348,0.13696137,0.11494482,0.08420456,0.11494482,0.08420456,0.11494482,0.1565954,0.11494482,0.24933544,0.11494482
74		6		tmn		texas matsakis wired 		0.12123815,0.08444637,0.112484254,0.08444637,0.052636422,0.14002977,0.100590244,0.14002977,0.052844282,0.14002977,0.16497143,0.14002977,0.0,0.14002977,0.0,0.14002977,0.15787496,0.14002977,0.11127549,0.14002977,0.07670106,0.14002977,0.11127549,0.14002977,0.11127549,0.14002977,0.042221557,0.14002977,0.14059556,0.14002977,0.14059556,0.14002977,0.14059556,0.14002977,0.052844282,0.14002977,0.14059556,0.19149101,0.0,0.19149101,0.11360771,0.19149101,0.033380523,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.09360182,0.19149101,0.062109504,0.19149101,0.1304851,0.19149101,0.1304851,0.19149101,0.1304851,0.19149101,0.081612274,0.19149101,0.19972983,0.19149101,0.0,0.19149101,0.090041615,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,1.0,0.19149101,0.03699813,0.19149101,0.11534708,0.19149101,0.11534708,0.19149101,0.11534708,0.19149101,0.11534708,0.17839071,0.33108613,0.17839071,0.21841125,0.17839071,0.21841125,0.17839071,0.0,0.17839071,0.0,0.17839071,0.0,0.17839071,0.060937617,0.25086325,0.05673286,0.25086325,0.05673286,0.25086325,0.05673286,0.25086325,0.060937617,0.25086325,0.06995376,0.25086325,0.06995376,0.25086325,0.06995376,0.25086325,0.1577738,0.25086325,0.0035287577,0.083750576,0.0035287577,0.083750576,0.1304851,0.083750576,0.1304851,0.083750576,0.081612274,0.083750576,0.1304851,0.083750576,0.23808059,0.083750576,0.1304851,0.083750576,0.1304851,0.083750576,0.081612274,0.083750576,0.081612274,0.12856348,0.1304851,0.12856348,0.16793332,0.12856348,0.1577738,0.12856348,0.0,0.12856348,0.1770722,0.12856348,0.022672927,0.058425173,0.08648331,0.058425173,0.08648331,0.16439788,0.033380523,0.21644747,0.08648331,0.21644747,0.1304851,0.21644747,0.023585336,0.21644747,0.10259817,0.21644747,0.0,0.21644747,0.10458105,0.21644747,0.15466085,0.21644747,0.10458105,0.21644747,0.10458105,0.21644747,0.15466085,0.21644747,0.18429862,0.21644747,0.18429862,0.21644747,0.069128595,0.21644747,0.069128595,0.083750576,0.069128595,0.12856348,0.0,0.12856348,0.13696137,0.11494482,0.08420456,0.11494482,0.08420456,0.11494482,0.1565954,0.11494482,0.24933544,0.11494482
198		6		tmn		tito ortiz		0.117711045,0.13959098,0.0,0.13959098,0.072093785,0.10996432,0.101502046,0.10996432,0.0,0.10996432,0.21894121,0.10996432,0.0,0.10996432,0.0,0.10996432,0.060579214,0.10996432,0.17466065,0.10996432,0.17466065,0.10996432,0.12907106,0.10996432,0.12907106,0.10996432,0.0,0.10996432,0.18685304,0.10996432,0.18685304,0.10996432,0.18685304,0.10996432,0.0,0.10996432,0.18685304,0.23549819,0.0,0.23549819,0.17852643,0.23549819,0.0,0.23549819,0.15349483,0.23549819,0.15349483,0.23549819,0.15349483,0.23549819,0.15349483,0.23549819,0.010417194,0.23549819,0.051441174,0.23549819,0.051441174,0.23549819,0.0061439415,0.23549819,0.051441174,0.23549819,0.0,0.23549819,0.057643823,0.23549819,0.110318385,0.23549819,0.24933544,0.23549819,0.24933544,0.23549819,0.24933544,0.23549819,0.24933544,0.23549819,0.24933544,0.23549819,0.0,0.23549819,0.0,0.23549819,0.0,0.23549819,0.0,0.23549819,0.0,0.15712924,0.113353126,0.15712924,0.24720058,0.15712924,0.24720058,0.15712924,0.026696645,0.15712924,0.026696645,0.15712924,0.026696645,0.15712924,0.012661046,0.3314813,0.063939795,0.3314813,0.063939795,0.3314813,0.063939795,0.3314813,0.012661046,0.3314813,0.047683865,0.3314813,0.011735654,0.3314813,0.047683865,0.3314813,0.17748049,0.3314813,0.04921769,0.15931273,0.04921769,0.15931273,0.051441174,0.15931273,0.051441174,0.15931273,0.051441174,0.15931273,0.0061439415,0.15931273,0.24047334,0.15931273,0.051441174,0.15931273,0.0061439415,0.15931273,0.0,0.15931273,0.051441174,0.21344052,0.051441174,0.21344052,0.026048474,0.21344052,0.17748049,0.21344052,0.0,0.21344052,0.22209994,0.21344052,0.0,0.0,0.18986975,0.0,0.18986975,0.18649618,0.016370067,0.25420395,0.18986975,0.25420395,0.0061439415,0.25420395,0.051441174,0.25420395,0.0,0.25420395,0.0,0.25420395,0.12035938,0.25420395,0.27147657,0.25420395,0.12035938,0.25420395,0.12035938,0.25420395,0.27147657,0.25420395,0.0,0.25420395,0.027156293,0.25420395,0.027156293,0.25420395,0.027156293,0.15931273,0.027156293,0.21344052,0.0,0.21344052,0.1643503,0.20136121,0.035358313,0.20136121,0.035358313,0.20136121,0.035358313,0.20136121,1.0,0.20136121
6		7		tmn		tiger woods		0.15055658,0.0302863,0.016268497,0.0302863,0.071704514,0.057795286,1.0,0.057795286,0.0,0.057795286,0.22686495,0.057795286,0.036447804,0.057795286,0.0,0.057795286,0.11030092,0.057795286,0.052298915,0.057795286,0.05429019,0.057795286,0.052298915,0.057795286,0.05429019,0.057795286,0.0,0.057795286,0.22587581,0.057795286,0.22587581,0.057795286,0.22587581,0.057795286,0.0,0.057795286,0.22587581,0.12638474,0.0,0.12638474,0.08695064,0.12638474,0.021799175,0.12638474,0.17896493,0.12638474,0.17896493,0.12638474,0.17896493,0.12638474,0.17896493,0.12638474,0.0,0.12638474,0.10059997,0.12638474,0.10059997,0.12638474,0.0,0.12638474,0.10059997,0.12638474,0.11416764,0.12638474,0.0,0.12638474,0.08850874,0.12638474,0.100590244,0.12638474,0.100590244,0.12638474,0.100590244,0.12638474,0.100590244,0.12638474,0.100590244,0.12638474,0.0,0.12638474,0.0,0.12638474,0.0,0.12638474,0.0,0.12638474,0.0,0.13534638,0.09835685,0.13534638,0.0058260253,0.13534638,0.0,0.13534638,0.0058260253,0.13534638,0.0058260253,0.13534638,0.0058260253,0.13534638,0.0,0.14356928,0.027634136,0.14356928,0.027634136,0.14356928,0.027634136,0.14356928,0.0,0.14356928,0.112977356,0.14356928,0.112977356,0.14356928,0.112977356,0.14356928,0.08628376,0.14356928,0.07701509,0.037385654,0.07701509,0.037385654,0.10059997,0.037385654,0.10059997,0.037385654,0.10059997,0.037385654,0.0,0.037385654,0.0,0.037385654,0.10059997,0.037385654,0.0,0.037385654,0.05426232,0.037385654,0.10059997,0.07457174,0.10059997,0.07457174,0.0,0.07457174,0.08628376,0.07457174,0.0,0.07457174,0.05188064,0.07457174,0.05120918,0.132252,0.05120918,0.132252,0.05120918,0.074160725,0.05120918,0.13035409,0.05120918,0.13035409,0.0,0.13035409,0.10059997,0.13035409,0.033219863,0.13035409,0.0,0.13035409,0.07701509,0.13035409,0.15271287,0.13035409,0.06491706,0.13035409,0.07701509,0.13035409,0.15271287,0.13035409,0.072015904,0.13035409,0.18872623,0.13035409,0.18872623,0.13035409,0.18872623,0.037385654,0.18872623,0.07457174,0.0,0.07457174,0.05558279,0.07362876,0.19922417,0.07362876,0.19922417,0.07362876,0.19922417,0.07362876,0.101502046,0.07362876
28		7		tmn		1b tamaseb		0.10885218,0.0,0.0,0.0,0.0,0.11599094,0.22587581,0.11599094,0.0,0.11599094,0.24708149,0.11599094,0.0,0.11599094,0.0,0.11599094,0.10107135,0.11599094,0.0,0.11599094,0.0,0.11599094,0.0,0.11599094,0.0,0.11599094,0.0,0.11599094,1.0,0.11599094,1.0,0.11599094,1.0,0.11599094,0.0,0.11599094,1.0,0.1702039,0.0,0.1702039,0.08903634,0.1702039,0.027349586,0.1702039,0.13140498,0.1702039,0.13140498,0.1702039,0.13140498,0.1702039,0.13140498,0.1702039,0.0,0.1702039,0.09391405,0.1702039,0.09391405,0.1702039,0.037786804,0.1702039,0.09391405,0.1702039,0.07706642,0.1702039,0.0,0.1702039,0.26542538,0.1702039,0.14059556,0.1702039,0.14059556,0.1702039,0.14059556,0.1702039,0.14059556,0.1702039,0.14059556,0.1702039,0.0,0.1702039,0.055437952,0.1702039,0.0013480298,0.1702039,0.055437952,0.1702039,0.055437952,0.14759432,0.13067897,0.14759432,0.102596,0.14759432,0.102596,0.14759432,0.0,0.14759432,0.0,0.14759432,0.0,0.14759432,0.0,0.2453326,0.0,0.2453326,0.0,0.2453326,0.0,0.2453326,0.0,0.2453326,0.09101701,0.2453326,0.09101701,0.2453326,0.09101701,0.2453326,0.098552525,0.2453326,0.0,0.025249626,0.0,0.025249626,0.09391405,0.025249626,0.09391405,0.025249626,0.09391405,0.025249626,0.037786804,0.025249626,0.09603422,0.025249626,0.09391405,0.025249626,0.037786804,0.025249626,0.0,0.025249626,0.09391405,0.027229398,0.09391405,0.027229398,0.048555035,0.027229398,0.098552525,0.027229398,0.0,0.027229398,0.15666467,0.027229398,0.10912885,0.0,0.10912885,0.0,0.10912885,0.04035543,0.10912885,0.21363762,0.10912885,0.21363762,0.037786804,0.21363762,0.09391405,0.21363762,0.051457353,0.21363762,0.0,0.21363762,0.08721998,0.21363762,0.23249002,0.21363762,0.08721998,0.21363762,0.08721998,0.21363762,0.23249002,0.21363762,0.0,0.21363762,0.008620207,0.21363762,0.008620207,0.21363762,0.008620207,0.025249626,0.008620207,0.027229398,0.0,0.027229398,0.16109252,0.094878875,0.025462199,0.094878875,0.06471118,0.094878875,0.08875337,0.094878875,0.18685304,0.094878875
