tmn		the heisman vote filled with 		1.0,0.0,1.0,1.0,0.060345761477947235,0.05221717804670334,0.14625930786132812,0.2740914523601532,0.2740914523601532,0.2740914523601532,0.38952818512916565,0.38952818512916565,0.0,0.013680147007107735,0.0755273774266243,0.33999526500701904,0.17303583025932312,0.33999526500701904,0.05814845860004425,0.21178707480430603,0.21178707480430603,0.21178707480430603,0.21178707480430603,0.12748479843139648,0.07456999272108078,0.0,0.0,0.013680147007107735,0.054814308881759644,0.10384082794189453,0.07360981404781342,0.1429024487733841,1.0,1.0,1.0,0.12413766980171204,0.12413766980171204,0.12413766980171204,0.13011743128299713,0.0,0.15030822157859802,0.03329325094819069,0.10506751388311386,0.12413766980171204,0.12413766980171204,0.19376981258392334,0.19376981258392334,0.19376981258392334,0.09822399169206619,0.19376981258392334,0.09733505547046661,0.3456824719905853,0.3455168604850769,0.3456824719905853,1.0,0.41423869132995605,0.3284403383731842,0.32630398869514465,0.5686452984809875,0.1826474517583847,0.1386122703552246,0.3455168604850769,0.16385099291801453,0.16385099291801453,0.33999526500701904,0.3455168604850769,0.3456824719905853,0.3456824719905853,0.162842258810997,0.3456824719905853,0.08175759762525558,0.2652968764305115,0.4655120074748993,0.30723726749420166,0.21821245551109314,0.20936712622642517,0.29431483149528503,0.11546337604522705,0.3279295563697815,1.0,0.42576125264167786,0.14803773164749146,0.2592982351779938,0.6439372897148132,1.0,0.24506700038909912,0.4655120074748993,0.20060937106609344,0.1909644454717636,0.24143096804618835,0.32630398869514465,0.32630398869514465,0.22474750876426697,0.41423869132995605,0.1909644454717636,0.0,0.10221324115991592,0.5117570161819458,1.0,0.2652968764305115
tmn		heisman filled homers 		0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tmn		the heisman filled 		1.0,0.0,1.0,0.0,0.060345761477947235,0.05221717804670334,0.14625930786132812,0.0,0.0,0.0,0.38952818512916565,0.38952818512916565,0.0,0.0,0.0,0.33999526500701904,0.054271552711725235,0.33999526500701904,0.05814845860004425,0.21178707480430603,0.21178707480430603,0.21178707480430603,0.21178707480430603,0.12748479843139648,0.0,0.0,0.0,0.0,0.0,0.10384082794189453,0.07360981404781342,0.1429024487733841,1.0,0.19903990626335144,1.0,0.08172936737537384,0.08172936737537384,0.08172936737537384,0.13011743128299713,0.0,0.15030822157859802,0.0,0.0,0.08172936737537384,0.08172936737537384,0.18692952394485474,0.18692952394485474,0.18692952394485474,0.09822399169206619,0.18692952394485474,0.09733505547046661,0.3456824719905853,0.2815433442592621,0.3456824719905853,0.4655120074748993,0.41423869132995605,0.3284403383731842,0.32630398869514465,0.5686452984809875,0.1826474517583847,0.09167682379484177,0.2815433442592621,0.16385099291801453,0.16385099291801453,0.33999526500701904,0.2815433442592621,0.3456824719905853,0.3456824719905853,0.162842258810997,0.3456824719905853,0.08175759762525558,0.2652968764305115,0.4655120074748993,0.2682958245277405,0.21821245551109314,0.20936712622642517,0.29431483149528503,0.11546337604522705,0.3279295563697815,1.0,0.42576125264167786,0.14803773164749146,0.2592982351779938,0.6439372897148132,0.2652968764305115,0.24506700038909912,0.4655120074748993,0.08175759762525558,0.1909644454717636,0.23504537343978882,0.32630398869514465,0.32630398869514465,0.22474750876426697,0.41423869132995605,0.1909644454717636,0.0,0.06033133342862129,0.5117570161819458,1.0,0.2652968764305115
tmn		heisman vote filled homers 		1.0,0.0,0.0,1.0,0.04073207080364227,0.032808832824230194,0.03271186351776123,0.2740914523601532,0.2740914523601532,0.2740914523601532,0.20899993181228638,0.2740914523601532,0.0,0.0,0.0755273774266243,0.17303583025932312,0.17303583025932312,0.17303583025932312,0.04253178834915161,0.08646412938833237,0.0,0.08646412938833237,0.08646412938833237,0.08646412938833237,0.07456999272108078,0.0,0.0,0.0,0.054814308881759644,0.0,0.0,0.0,0.0033260975033044815,0.0,0.0033260975033044815,0.10506751388311386,0.10506751388311386,0.07509641349315643,0.019507085904479027,0.0,0.10770855844020844,0.03329325094819069,0.10506751388311386,0.07509641349315643,0.10506751388311386,0.06240183860063553,0.06240183860063553,0.06240183860063553,0.06240183860063553,0.06240183860063553,0.08113868534564972,0.13057635724544525,0.058851588517427444,0.1472531408071518,0.10699912160634995,0.017976883798837662,0.01482783816754818,0.223833829164505,0.14455263316631317,0.09540658444166183,0.008623519912362099,0.058851588517427444,0.09105692058801651,0.09105692058801651,0.09560789167881012,0.058851588517427444,0.085270456969738,0.085270456969738,0.0040683443658053875,0.040158748626708984,0.0,0.014544203877449036,0.11942116916179657,0.060969773679971695,0.060969773679971695,0.11942116916179657,0.0656290054321289,0.021767565980553627,0.0,0.015164691023528576,0.11052250117063522,0.0121405478566885,0.07405735552310944,0.08113868534564972,0.04870177432894707,0.07263825088739395,0.10699912160634995,0.0,0.174515038728714,0.040985334664583206,0.05986768752336502,0.0,0.10892193764448166,0.010590896010398865,0.174515038728714,0.0,0.10221324115991592,0.01788155362010002,0.21379384398460388,0.2290424257516861
tmn		xbox		0.060345761477947235,0.0,0.060345761477947235,0.04073207080364227,1.0,0.435260146856308,0.270061731338501,0.00671458151191473,0.12071942538022995,0.12071942538022995,0.12071942538022995,0.09470760077238083,0.0,0.022336836904287338,0.032635197043418884,0.07599778473377228,0.07599778473377228,0.07599778473377228,0.0,0.05418087914586067,0.03203027322888374,0.05418087914586067,0.05418087914586067,0.05418087914586067,0.2799793481826782,0.0,0.012493235059082508,0.022336836904287338,0.0,0.28156083822250366,0.26768937706947327,0.2106422334909439,0.19451208412647247,0.115676149725914,0.19451208412647247,0.39620527625083923,0.2130550593137741,0.39620527625083923,0.07797601819038391,0.0,0.08491215109825134,0.04247262328863144,0.39620527625083923,0.39620527625083923,0.2130550593137741,0.3108208477497101,0.3108208477497101,0.3108208477497101,0.3108208477497101,0.3108208477497101,0.16322073340415955,0.034692421555519104,0.05958002060651779,0.08109613507986069,0.11892517656087875,0.04903614893555641,0.1106942668557167,0.16322073340415955,0.06978126615285873,0.05958002060651779,0.0,0.07898194342851639,0.06519299745559692,0.06519299745559692,0.06410045176744461,0.05958002060651779,0.04900721460580826,0.034692421555519104,0.1276717185974121,0.034692421555519104,0.08450214564800262,0.1311570256948471,0.11892517656087875,0.1414283663034439,0.1414283663034439,0.08450214564800262,0.05958002060651779,0.0,0.07203477621078491,0.060345761477947235,0.010648883879184723,0.08450214564800262,0.08608032017946243,0.16322073340415955,0.03533574566245079,0.048023100942373276,0.11892517656087875,0.08450214564800262,0.0643639788031578,0.11162760108709335,0.032614290714263916,0.020929714664816856,0.048023100942373276,0.09075552970170975,0.03633300960063934,0.023988276720046997,0.06214309483766556,0.08206352591514587,0.09022559225559235,0.03533574566245079
tmn		ipad cases		0.05221717804670334,0.0,0.05221717804670334,0.032808832824230194,0.435260146856308,1.0,0.5248669981956482,0.0,0.11600027233362198,0.11600027233362198,0.17893153429031372,0.17893153429031372,0.0,0.0,0.0,0.09251805394887924,0.09251805394887924,0.09251805394887924,0.0,0.07989154011011124,0.07989154011011124,0.06917952001094818,0.06917952001094818,0.07989154011011124,0.3644140362739563,0.0,0.04249177500605583,0.0,0.0,0.2912587821483612,0.2912587821483612,0.28689974546432495,0.13627994060516357,0.04872841760516167,0.13627994060516357,0.3722200095653534,0.16661055386066437,0.3722200095653534,0.08446250855922699,0.0,0.09393300116062164,0.040712419897317886,0.3722200095653534,0.3722200095653534,0.16661055386066437,0.40299955010414124,0.40299955010414124,0.40299955010414124,0.40299955010414124,0.40299955010414124,0.16934901475906372,0.06874820590019226,0.09102670103311539,0.1101318970322609,0.13968953490257263,0.12247949093580246,0.20422682166099548,0.16934901475906372,0.09366783499717712,0.08778642863035202,0.046569280326366425,0.09102670103311539,0.030769849196076393,0.030769849196076393,0.05071030557155609,0.09102670103311539,0.07506848126649857,0.06874820590019226,0.030327625572681427,0.06874820590019226,0.0669172927737236,0.03545407950878143,0.13968953490257263,0.15576156973838806,0.15576156973838806,0.15039557218551636,0.0684669241309166,0.0,0.15090003609657288,0.06325200945138931,0.06929532438516617,0.15039557218551636,0.07498085498809814,0.17462866008281708,0.03545407950878143,0.05926106870174408,0.13968953490257263,0.0669172927737236,0.10871974378824234,0.08985128998756409,0.047852929681539536,0.07445234060287476,0.05926106870174408,0.12247949093580246,0.04459645226597786,0.0,0.09691761434078217,0.11885595321655273,0.07925300300121307,0.03545407950878143
tmn		since apple store perez techcrunch 		0.14625930786132812,0.0,0.14625930786132812,0.03271186351776123,0.270061731338501,0.5248669981956482,1.0,0.11185770481824875,0.1627945899963379,0.18248973786830902,0.1627945899963379,0.18248973786830902,0.0,0.29305166006088257,0.19636297225952148,0.1046738550066948,0.1046738550066948,0.1046738550066948,0.12498173862695694,0.20910972356796265,0.20910972356796265,0.20910972356796265,0.20910972356796265,0.09266655892133713,0.38248342275619507,0.0,0.09544050693511963,0.29305166006088257,0.35657817125320435,0.4682357907295227,0.4682357907295227,0.2978760004043579,0.15255475044250488,0.140133798122406,0.15255475044250488,0.6076371669769287,0.19062210619449615,0.6076371669769287,0.17146101593971252,0.0,0.2121058702468872,0.12496204674243927,0.6076371669769287,0.6076371669769287,0.19062210619449615,0.34297260642051697,0.34297260642051697,0.34297260642051697,0.34297260642051697,0.34297260642051697,0.20465749502182007,0.1948278844356537,0.09575355052947998,0.1614219695329666,0.15406621992588043,0.2988744080066681,0.17281340062618256,0.47715723514556885,0.21467947959899902,0.2087714523077011,0.16707445681095123,0.10978292673826218,0.32693004608154297,0.1820528507232666,0.0824005976319313,0.0824005976319313,0.12612077593803406,0.12612077593803406,0.06860893219709396,0.20409341156482697,0.16710463166236877,0.2566733658313751,0.11427555233240128,0.19208946824073792,0.1677183210849762,0.20283758640289307,0.0824005976319313,0.32693004608154297,0.08354813605546951,0.14625930786132812,0.07731188833713531,0.20283758640289307,0.12463987618684769,0.20465749502182007,0.2566733658313751,0.1731390655040741,0.18935468792915344,0.21942494809627533,0.0824005976319313,0.35919299721717834,0.47715723514556885,0.47715723514556885,0.1529029905796051,0.15489408373832703,0.026498308405280113,0.23730309307575226,0.10234789550304413,0.13926413655281067,0.1773928999900818,0.2566733658313751
tmn		bill		0.2740914523601532,0.0,0.0,0.2740914523601532,0.00671458151191473,0.0,0.11185770481824875,1.0,1.0,1.0,0.02625381574034691,1.0,0.0,0.112103670835495,0.23700079321861267,0.06328541040420532,0.16664768755435944,0.07567504048347473,0.28976014256477356,0.0062112947925925255,0.04710932448506355,0.0062112947925925255,0.18893511593341827,0.04710932448506355,0.026663081720471382,0.0,0.025528423488140106,0.112103670835495,0.29798465967178345,0.06554600596427917,0.027654020115733147,0.0,0.02125333435833454,0.02125333435833454,0.02125333435833454,0.036740757524967194,0.010927763767540455,0.036740757524967194,0.0,0.0,0.07581587135791779,0.09035124629735947,0.39548391103744507,0.39548391103744507,0.010927763767540455,0.11632483452558517,0.11632483452558517,0.11632483452558517,0.11632483452558517,0.11632483452558517,0.07920142263174057,0.019425036385655403,0.05609409138560295,0.019425036385655403,0.0,0.4751861095428467,0.01530110277235508,0.07920142263174057,0.03407103195786476,0.052157994359731674,0.09117511659860611,0.06672541797161102,0.3417303264141083,0.01995537057518959,0.10962426662445068,0.09005390107631683,0.09005390107631683,0.09005390107631683,0.075727678835392,0.09005390107631683,0.03341863304376602,0.0550871267914772,0.04762255400419235,0.11026345938444138,0.11026345938444138,0.09549283236265182,0.01530110277235508,0.3417303264141083,0.0,0.04692532867193222,0.0,0.09549283236265182,0.0,0.07920142263174057,0.0,0.0,0.1053808256983757,0.03341863304376602,0.10119406878948212,0.4751861095428467,0.09005390107631683,0.0,0.09005390107631683,0.030939340591430664,0.10119406878948212,0.0,0.0,0.06538241356611252,0.05690343677997589,0.0
tmn		100 bill		0.2740914523601532,0.0,0.0,0.2740914523601532,0.12071942538022995,0.11600027233362198,0.1627945899963379,1.0,1.0,1.0,1.0,1.0,0.0,0.112103670835495,0.23700079321861267,0.06328541040420532,0.16664768755435944,0.07567504048347473,0.28976014256477356,0.10136319696903229,0.04936671257019043,0.10136319696903229,0.18893511593341827,0.04936671257019043,0.07038872689008713,0.0,0.13345374166965485,0.112103670835495,0.29798465967178345,0.11040257662534714,0.11040257662534714,0.07033254951238632,0.14323604106903076,0.10165327042341232,0.14323604106903076,0.15944033861160278,0.010927763767540455,0.15944033861160278,0.1281052976846695,0.0,0.10833197087049484,0.09035124629735947,0.39548391103744507,0.39548391103744507,0.010927763767540455,0.1500052958726883,0.1500052958726883,0.1500052958726883,0.1500052958726883,0.1500052958726883,0.07920142263174057,0.04261283576488495,0.05609409138560295,0.0896182507276535,0.2540261447429657,0.4751861095428467,0.01530110277235508,0.0896182507276535,0.055795006453990936,0.052157994359731674,0.09117511659860611,0.06672541797161102,0.3417303264141083,0.19349434971809387,0.10962426662445068,0.09005390107631683,0.09005390107631683,0.09005390107631683,0.075727678835392,0.09005390107631683,0.03341863304376602,0.0550871267914772,0.2655153274536133,0.18729238212108612,0.18729238212108612,0.2655153274536133,0.01530110277235508,0.3417303264141083,0.057016272097826004,0.04692532867193222,0.1549728363752365,0.09549283236265182,0.10255865752696991,0.07920142263174057,0.2540261447429657,0.06331811100244522,0.19191354513168335,0.03341863304376602,0.10119406878948212,0.4751861095428467,0.09005390107631683,0.0,0.09005390107631683,0.030939340591430664,0.10119406878948212,0.009622570127248764,0.06366686522960663,0.08958504348993301,0.17485958337783813,0.15038996934890747
tmn		100 dollar bill		0.2740914523601532,0.0,0.0,0.2740914523601532,0.12071942538022995,0.11600027233362198,0.18248973786830902,1.0,1.0,1.0,1.0,1.0,0.0,0.112103670835495,0.23700079321861267,0.21027851104736328,0.21027851104736328,0.21027851104736328,0.28976014256477356,0.10136319696903229,0.06948111206293106,0.10136319696903229,0.18893511593341827,0.06948111206293106,0.07038872689008713,0.0,0.159730464220047,0.112103670835495,0.29798465967178345,0.11040257662534714,0.11040257662534714,0.07033254951238632,0.14323604106903076,0.10165327042341232,0.14323604106903076,0.15944033861160278,0.0690845251083374,0.15944033861160278,0.1281052976846695,0.0,0.19868631660938263,0.09035124629735947,0.39548391103744507,0.39548391103744507,0.0690845251083374,0.1500052958726883,0.1500052958726883,0.1500052958726883,0.1500052958726883,0.1500052958726883,0.12607400119304657,0.06127902492880821,0.11517227441072464,0.17748945951461792,0.2540261447429657,0.4751861095428467,0.05830313637852669,0.17748945951461792,0.055795006453990936,0.07271552830934525,0.09117511659860611,0.11517227441072464,0.3417303264141083,0.19349434971809387,0.16815876960754395,0.11517227441072464,0.09005390107631683,0.09005390107631683,0.075727678835392,0.09005390107631683,0.03341863304376602,0.08490999788045883,0.2655153274536133,0.28194138407707214,0.28194138407707214,0.2655153274536133,0.1310194432735443,0.3417303264141083,0.057016272097826004,0.04692532867193222,0.1549728363752365,0.0986684039235115,0.10255865752696991,0.12607400119304657,0.2540261447429657,0.09304412454366684,0.19191354513168335,0.03341863304376602,0.10119406878948212,0.4751861095428467,0.1069079041481018,0.008488007821142673,0.09304412454366684,0.09432035684585571,0.10119406878948212,0.09681902825832367,0.06366686522960663,0.08958504348993301,0.17485958337783813,0.15038996934890747
